phrase,code
switch on govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
switch govee lamp in room 4.443 to on state .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
switch on power of govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
turn on govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
turn on power of govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
turn power on of govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
set power on govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
govee lamp in room 4.443 power on .,"goveelamp(light, 4.443, None).writeProperty('power', 1);"
activate govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', on);"
deactivate govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', off);"
power up govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', on);"
power down govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', off);"
switch off govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
switch govee lamp in room 4.443 to off state .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
switch off power of govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
turn off govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
turn off power of govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
turn power off of govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
set power off govee lamp in room 4.443 .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
govee lamp in room 4.443 power off .,"goveelamp(light, 4.443, None).writeProperty('power', 0);"
switch on govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
switch govee lamp in IoT lab to on state .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
switch on power of govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
turn on govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
turn on power of govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
turn power on of govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
set power on govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
govee lamp in IoT lab power on .,"goveelamp(light, IoT_lab, None).writeProperty('power', 1);"
activate govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', on);"
deactivate govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', off);"
power up govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', on);"
power down govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', off);"
switch off govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
switch govee lamp in IoT lab to off state .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
switch off power of govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
turn off govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
turn off power of govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
turn power off of govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
set power off govee lamp in IoT lab .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
govee lamp in IoT lab power off .,"goveelamp(light, IoT_lab, None).writeProperty('power', 0);"
switch on govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
switch govee lamp in the kitchen to on state .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
switch on power of govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
turn on govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
turn on power of govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
turn power on of govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
set power on govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
govee lamp in the kitchen power on .,"goveelamp(light, kitchen, None).writeProperty('power', 1);"
activate govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', on);"
deactivate govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', off);"
power up govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', on);"
power down govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', off);"
switch off govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 0);"
switch govee lamp in the kitchen to off state .,"goveelamp(light, kitchen, None).writeProperty('power', 0);"
switch off power of govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 0);"
turn off govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 0);"
turn off power of govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 0);"
turn power off of govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 0);"
set power off govee lamp in the kitchen .,"goveelamp(light, kitchen, None).writeProperty('power', 0);"
govee lamp in the kitchen power off .,"goveelamp(light, kitchen, None).writeProperty('power', 0);"
switch on govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', 1);"
switch govee lamp owned by Zhou to on state .,"goveelamp(light, None, Zhou).writeProperty('power', 1);"
switch on power of govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', 1);"
turn on govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', 1);"
turn on power of govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', 1);"
turn power on of govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', 1);"
set power on govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', 1);"
govee lamp owned by Zhou power on .,"goveelamp(light, None, Zhou).writeProperty('power', 1);"
activate govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', on);"
deactivate govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', off);"
power up govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', on);"
power down govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', off);"
switch off govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', 0);"
switch govee lamp owned by Zhou to off state .,"goveelamp(light, None, Zhou).writeProperty('power', 0);"
switch off power of govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', 0);"
turn off govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', 0);"
turn off power of govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', 0);"
turn power off of govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', 0);"
set power off govee lamp owned by Zhou .,"goveelamp(light, None, Zhou).writeProperty('power', 0);"
govee lamp owned by Zhou power off .,"goveelamp(light, None, Zhou).writeProperty('power', 0);"
switch on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', 1);"
switch govee lamp from Michael to on state .,"goveelamp(light, None, Michael).writeProperty('power', 1);"
switch on power of govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', 1);"
turn on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', 1);"
turn on power of govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', 1);"
turn power on of govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', 1);"
set power on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', 1);"
govee lamp from Michael power on .,"goveelamp(light, None, Michael).writeProperty('power', 1);"
activate govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', on);"
deactivate govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', off);"
power up govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', on);"
power down govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', off);"
switch off govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', 0);"
switch govee lamp from Michael to off state .,"goveelamp(light, None, Michael).writeProperty('power', 0);"
switch off power of govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', 0);"
turn off govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', 0);"
turn off power of govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', 0);"
turn power off of govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', 0);"
set power off govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('power', 0);"
govee lamp from Michael power off .,"goveelamp(light, None, Michael).writeProperty('power', 0);"
switch on Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', 1);"
switch Daniel's govee lamp to on state .,"goveelamp(light, None, Daniel).writeProperty('power', 1);"
switch on power of Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', 1);"
turn on Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', 1);"
turn on power of Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', 1);"
turn power on of Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', 1);"
set power on Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', 1);"
Daniel's govee lamp power on .,"goveelamp(light, None, Daniel).writeProperty('power', 1);"
activate Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', on);"
deactivate Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', off);"
power up Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', on);"
power down Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', off);"
switch off Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', 0);"
switch Daniel's govee lamp to off state .,"goveelamp(light, None, Daniel).writeProperty('power', 0);"
switch off power of Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', 0);"
turn off Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', 0);"
turn off power of Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', 0);"
turn power off of Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', 0);"
set power off Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('power', 0);"
Daniel's govee lamp power off .,"goveelamp(light, None, Daniel).writeProperty('power', 0);"
switch govee lamp in room 4.443 color to white .,"goveelamp(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
switch color of govee lamp in room 4.443 to white .,"goveelamp(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
set govee lamp in room 4.443 color to white .,"goveelamp(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
set color of govee lamp in room 4.443 to white .,"goveelamp(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
update govee lamp in room 4.443 color to white .,"goveelamp(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
adjust color of govee lamp in room 4.443 to white .,"goveelamp(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255});"
modify govee lamp in room 4.443 color to white .,"goveelamp(light, 4.443, None).writeProperty('color', {red:255, green:255, blue:255})"
adjust color of govee lamp from Michael to yellow .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:255, blue:0});"
modify govee lamp from Michael color to yellow .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:255, blue:0})"
convert color of govee lamp from Michael to yellow .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:255, blue:0});"
change govee lamp from Michael color to yellow .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:255, blue:0});"
make color of govee lamp from Michael to yellow .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:255, blue:0});"
I want yellow color on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:255, blue:0});"
I want govee lamp from Michael color be yellow .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:255, blue:0});"
switch govee lamp from Michael color to olive .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:128, blue:0});"
switch color of govee lamp from Michael to olive .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:128, blue:0});"
set govee lamp from Michael color to olive .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:128, blue:0});"
set color of govee lamp from Michael to olive .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:128, blue:0});"
update govee lamp from Michael color to olive .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:128, blue:0});"
adjust color of govee lamp from Michael to olive .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:128, blue:0});"
modify govee lamp from Michael color to olive .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:128, blue:0})"
convert color of govee lamp from Michael to olive .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:128, blue:0});"
change govee lamp from Michael color to olive .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:128, blue:0});"
make color of govee lamp from Michael to olive .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:128, blue:0});"
I want olive color on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:128, blue:0});"
I want govee lamp from Michael color be olive .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:128, blue:0});"
switch govee lamp from Michael color to lime .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255, blue:0});"
switch color of govee lamp from Michael to lime .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255, blue:0});"
set govee lamp from Michael color to lime .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255, blue:0});"
set color of govee lamp from Michael to lime .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255, blue:0});"
update govee lamp from Michael color to lime .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255, blue:0});"
adjust color of govee lamp from Michael to lime .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255, blue:0});"
modify govee lamp from Michael color to lime .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255, blue:0})"
convert color of govee lamp from Michael to lime .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255, blue:0});"
change govee lamp from Michael color to lime .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255, blue:0});"
make color of govee lamp from Michael to lime .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255, blue:0});"
I want lime color on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255, blue:0});"
I want govee lamp from Michael color be lime .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255, blue:0});"
switch govee lamp from Michael color to green .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:0} );"
switch color of govee lamp from Michael to green .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:0} );"
set govee lamp from Michael color to green .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:0} );"
set color of govee lamp from Michael to green .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:0} );"
update govee lamp from Michael color to green .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:0} );"
adjust color of govee lamp from Michael to green .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:0} );"
modify govee lamp from Michael color to green .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:0} )"
convert color of govee lamp from Michael to green .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:0} );"
change govee lamp from Michael color to green .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:0} );"
make color of govee lamp from Michael to green .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:0} );"
I want green color on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:0} );"
I want govee lamp from Michael color be green .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:0} );"
switch govee lamp from Michael color to aqua .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255 blue:255});"
switch color of govee lamp from Michael to aqua .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255 blue:255});"
set govee lamp from Michael color to aqua .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255 blue:255});"
set color of govee lamp from Michael to aqua .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255 blue:255});"
update govee lamp from Michael color to aqua .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255 blue:255});"
adjust color of govee lamp from Michael to aqua .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255 blue:255});"
modify govee lamp from Michael color to aqua .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255 blue:255})"
convert color of govee lamp from Michael to aqua .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255 blue:255});"
change govee lamp from Michael color to aqua .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255 blue:255});"
make color of govee lamp from Michael to aqua .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255 blue:255});"
I want aqua color on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255 blue:255});"
I want govee lamp from Michael color be aqua .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:255 blue:255});"
switch govee lamp from Michael color to teal .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:128} );"
switch color of govee lamp from Michael to teal .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:128} );"
set govee lamp from Michael color to teal .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:128} );"
set color of govee lamp from Michael to teal .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:128} );"
update govee lamp from Michael color to teal .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:128} );"
adjust color of govee lamp from Michael to teal .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:128} );"
modify govee lamp from Michael color to teal .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:128} )"
convert color of govee lamp from Michael to teal .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:128} );"
change govee lamp from Michael color to teal .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:128} );"
make color of govee lamp from Michael to teal .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:128} );"
I want teal color on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:128} );"
I want govee lamp from Michael color be teal .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:128, blue:128} );"
switch govee lamp from Michael color to blue .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:255});"
switch color of govee lamp from Michael to blue .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:255});"
set govee lamp from Michael color to blue .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:255});"
set color of govee lamp from Michael to blue .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:255});"
update govee lamp from Michael color to blue .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:255});"
adjust color of govee lamp from Michael to blue .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:255});"
modify govee lamp from Michael color to blue .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:255})"
convert color of govee lamp from Michael to blue .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:255});"
change govee lamp from Michael color to blue .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:255});"
make color of govee lamp from Michael to blue .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:255});"
I want blue color on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:255});"
I want govee lamp from Michael color be blue .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:255});"
switch govee lamp from Michael color to navy .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:128});"
switch color of govee lamp from Michael to navy .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:128});"
set govee lamp from Michael color to navy .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:128});"
set color of govee lamp from Michael to navy .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:128});"
update govee lamp from Michael color to navy .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:128});"
adjust color of govee lamp from Michael to navy .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:128});"
modify govee lamp from Michael color to navy .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:128})"
convert color of govee lamp from Michael to navy .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:128});"
change govee lamp from Michael color to navy .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:128});"
make color of govee lamp from Michael to navy .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:128});"
I want navy color on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:128});"
I want govee lamp from Michael color be navy .,"goveelamp(light, None, Michael).writeProperty('color', {red:0, green:0, blue:128});"
switch govee lamp from Michael color to fuchsia .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:0, blue:255});"
switch color of govee lamp from Michael to fuchsia .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:0, blue:255});"
set govee lamp from Michael color to fuchsia .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:0, blue:255});"
set color of govee lamp from Michael to fuchsia .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:0, blue:255});"
update govee lamp from Michael color to fuchsia .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:0, blue:255});"
adjust color of govee lamp from Michael to fuchsia .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:0, blue:255});"
modify govee lamp from Michael color to fuchsia .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:0, blue:255})"
convert color of govee lamp from Michael to fuchsia .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:0, blue:255});"
change govee lamp from Michael color to fuchsia .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:0, blue:255});"
make color of govee lamp from Michael to fuchsia .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:0, blue:255});"
I want fuchsia color on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:0, blue:255});"
I want govee lamp from Michael color be fuchsia .,"goveelamp(light, None, Michael).writeProperty('color', {red:255, green:0, blue:255});"
switch govee lamp from Michael color to purple .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:0, blue:128});"
switch color of govee lamp from Michael to purple .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:0, blue:128});"
set govee lamp from Michael color to purple .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:0, blue:128});"
set color of govee lamp from Michael to purple .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:0, blue:128});"
update govee lamp from Michael color to purple .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:0, blue:128});"
adjust color of govee lamp from Michael to purple .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:0, blue:128});"
modify govee lamp from Michael color to purple .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:0, blue:128})"
convert color of govee lamp from Michael to purple .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:0, blue:128});"
change govee lamp from Michael color to purple .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:0, blue:128});"
make color of govee lamp from Michael to purple .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:0, blue:128});"
I want purple color on govee lamp from Michael .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:0, blue:128});"
I want govee lamp from Michael color be purple .,"goveelamp(light, None, Michael).writeProperty('color', {red:128, green:0, blue:128});"
switch Daniel's govee lamp color to white .,"goveelamp(light, None, Daniel).writeProperty('color', {red:255, green:255, blue:255});"
switch color of Daniel's govee lamp to white .,"goveelamp(light, None, Daniel).writeProperty('color', {red:255, green:255, blue:255});"
set Daniel's govee lamp color to white .,"goveelamp(light, None, Daniel).writeProperty('color', {red:255, green:255, blue:255});"
set color of Daniel's govee lamp to white .,"goveelamp(light, None, Daniel).writeProperty('color', {red:255, green:255, blue:255});"
update Daniel's govee lamp color to white .,"goveelamp(light, None, Daniel).writeProperty('color', {red:255, green:255, blue:255});"
adjust color of Daniel's govee lamp to white .,"goveelamp(light, None, Daniel).writeProperty('color', {red:255, green:255, blue:255});"
modify Daniel's govee lamp color to white .,"goveelamp(light, None, Daniel).writeProperty('color', {red:255, green:255, blue:255})"
convert color of Daniel's govee lamp to white .,"goveelamp(light, None, Daniel).writeProperty('color', {red:255, green:255, blue:255});"
change Daniel's govee lamp color to white .,"goveelamp(light, None, Daniel).writeProperty('color', {red:255, green:255, blue:255});"
make color of Daniel's govee lamp to white .,"goveelamp(light, None, Daniel).writeProperty('color', {red:255, green:255, blue:255});"
I want white color on Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('color', {red:255, green:255, blue:255});"
I want Daniel's govee lamp color be white .,"goveelamp(light, None, Daniel).writeProperty('color', {red:255, green:255, blue:255});"
switch Daniel's govee lamp color to silver .,"goveelamp(light, None, Daniel).writeProperty('color', {red:192, green:192, blue:192});"
switch color of Daniel's govee lamp to silver .,"goveelamp(light, None, Daniel).writeProperty('color', {red:192, green:192, blue:192});"
set Daniel's govee lamp color to silver .,"goveelamp(light, None, Daniel).writeProperty('color', {red:192, green:192, blue:192});"
set color of Daniel's govee lamp to silver .,"goveelamp(light, None, Daniel).writeProperty('color', {red:192, green:192, blue:192});"
update Daniel's govee lamp color to silver .,"goveelamp(light, None, Daniel).writeProperty('color', {red:192, green:192, blue:192});"
adjust color of Daniel's govee lamp to silver .,"goveelamp(light, None, Daniel).writeProperty('color', {red:192, green:192, blue:192});"
modify Daniel's govee lamp color to silver .,"goveelamp(light, None, Daniel).writeProperty('color', {red:192, green:192, blue:192})"
convert color of Daniel's govee lamp to silver .,"goveelamp(light, None, Daniel).writeProperty('color', {red:192, green:192, blue:192});"
change Daniel's govee lamp color to silver .,"goveelamp(light, None, Daniel).writeProperty('color', {red:192, green:192, blue:192});"
make color of Daniel's govee lamp to silver .,"goveelamp(light, None, Daniel).writeProperty('color', {red:192, green:192, blue:192});"
I want silver color on Daniel's govee lamp .,"goveelamp(light, None, Daniel).writeProperty('color', {red:192, green:192, blue:192});"
I want Daniel's govee lamp color be silver .,"goveelamp(light, None, Daniel).writeProperty('color', {red:192, green:192, blue:192});"
switch Daniel's govee lamp color to gray .,"goveelamp(light, None, Daniel).writeProperty('color', {red:128, green:128, blue:128});"
switch color of Daniel's govee lamp to gray .,"goveelamp(light, None, Daniel).writeProperty('color', {red:128, green:128, blue:128});"
set Daniel's govee lamp color to gray .,"goveelamp(light, None, Daniel).writeProperty('color', {red:128, green:128, blue:128});"
set color of Daniel's govee lamp to gray .,"goveelamp(light, None, Daniel).writeProperty('color', {red:128, green:128, blue:128});"
